Tipo de jornada;Comunidades y Ciudades Autonómas;Decil;Periodo;Total
Jornada a tiempo completo;03 Asturias, Principado de;1;2021;828,31
Jornada a tiempo completo;03 Asturias, Principado de;2;2022;1.160,25
Jornada a tiempo completo;03 Asturias, Principado de;2;2021;1.062,92
Jornada a tiempo completo;03 Asturias, Principado de;3;2022;1.349,24
Jornada a tiempo completo;03 Asturias, Principado de;3;2021;1.257,17
Jornada a tiempo completo;03 Asturias, Principado de;4;2022;1.531,91
Jornada a tiempo completo;03 Asturias, Principado de;4;2021;1.461,31
Jornada a tiempo completo;03 Asturias, Principado de;5;2022;1.715,13
Jornada a tiempo completo;03 Asturias, Principado de;5;2021;1.676,46
Jornada a tiempo completo;03 Asturias, Principado de;6;2022;1.932,35
Jornada a tiempo completo;03 Asturias, Principado de;6;2021;1.873,50
Jornada a tiempo completo;03 Asturias, Principado de;7;2022;2.209,98
Jornada a tiempo completo;03 Asturias, Principado de;7;2021;2.156,00
Jornada a tiempo completo;03 Asturias, Principado de;8;2022;2.608,97
Jornada a tiempo completo;03 Asturias, Principado de;8;2021;2.559,89
Jornada a tiempo completo;03 Asturias, Principado de;9;2022;3.165,07
Jornada a tiempo completo;03 Asturias, Principado de;9;2021;3.188,22
Jornada a tiempo completo;03 Asturias, Principado de;10;2022;5.182,18
Jornada a tiempo completo;03 Asturias, Principado de;10;2021;4.769,24
Jornada a tiempo completo;04 Balears, Illes;Total decil;2022;2.427,32
Jornada a tiempo completo;04 Balears, Illes;Total decil;2021;2.272,69
Jornada a tiempo completo;04 Balears, Illes;1;2022;937,48
Jornada a tiempo completo;04 Balears, Illes;1;2021;832,80
Jornada a tiempo completo;04 Balears, Illes;2;2022;1.156,66
Jornada a tiempo completo;04 Balears, Illes;2;2021;1.055,24
Jornada a tiempo completo;04 Balears, Illes;3;2022;1.334,41
Jornada a tiempo completo;04 Balears, Illes;3;2021;1.278,02
Jornada a tiempo completo;04 Balears, Illes;4;2022;1.527,58
Jornada a tiempo completo;04 Balears, Illes;4;2021;1.454,43
Jornada a tiempo completo;04 Balears, Illes;5;2022;1.724,58
Jornada a tiempo completo;04 Balears, Illes;5;2021;1.662,22
Jornada a tiempo completo;04 Balears, Illes;6;2022;1.923,41
Jornada a tiempo completo;04 Balears, Illes;6;2021;1.880,63
Jornada a tiempo completo;04 Balears, Illes;7;2022;2.192,64
Jornada a tiempo completo;04 Balears, Illes;7;2021;2.169,31
Jornada a tiempo completo;04 Balears, Illes;8;2022;2.574,81
