Provincias;Nivel de ingresos mensuales netos del hogar;Tamaño del municipio;Tipo de dispositivo de energía renovable;Total
Toledo;3.000 euros o más;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;14.810
Toledo;3.000 euros o más;De 50.000 habitantes o menos;Total;15.460
Toledo;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;442
Toledo;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;188
Toledo;3.000 euros o más;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Toledo;3.000 euros o más;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;8.683
Toledo;3.000 euros o más;Más de 50.000 habitantes;Total;9.328
Valencia/València;Total;Total;Un único tipo de dispositivo: Energía solar térmica;25.359
Valencia/València;Total;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;10.794
Valencia/València;Total;Total;Combinación de varios tipos de dispositivos;1.572
Valencia/València;Total;Total;No dispone de dispositivo de energía renovable;1.005.016
Valencia/València;Total;Total;Total;1.042.740
Valencia/València;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;16.870
Valencia/València;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;7.526
Valencia/València;Total;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;1.371
Valencia/València;Total;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;579.251
Valencia/València;Total;De 50.000 habitantes o menos;Total;605.018
Valencia/València;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;8.488
Valencia/València;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;3.268
Valencia/València;Total;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;201
Valencia/València;Total;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;425.765
Valencia/València;Total;Más de 50.000 habitantes;Total;437.722
Valencia/València;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;2.197
Valencia/València;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.724
Valencia/València;Menos de 1.000 euros;Total;Combinación de varios tipos de dispositivos;.
Valencia/València;Menos de 1.000 euros;Total;No dispone de dispositivo de energía renovable;238.615
Valencia/València;Menos de 1.000 euros;Total;Total;242.753
Valencia/València;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.448
Valencia/València;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.177
Valencia/València;Menos de 1.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Valencia/València;Menos de 1.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;140.887
Valencia/València;Menos de 1.000 euros;De 50.000 habitantes o menos;Total;143.730
Valencia/València;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;749
Valencia/València;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;547
Valencia/València;Menos de 1.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Valencia/València;Menos de 1.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;97.729
Valencia/València;Menos de 1.000 euros;Más de 50.000 habitantes;Total;99.024
Valencia/València;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar térmica;4.219
Valencia/València;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;2.424
Valencia/València;De 1.000 euros a menos de 1.500 euros;Total;Combinación de varios tipos de dispositivos;257
Valencia/València;De 1.000 euros a menos de 1.500 euros;Total;No dispone de dispositivo de energía renovable;234.323
Valencia/València;De 1.000 euros a menos de 1.500 euros;Total;Total;241.222
Valencia/València;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;3.234
Valencia/València;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;2.049
Valencia/València;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Valencia/València;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;147.410
Valencia/València;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Total;152.899
Valencia/València;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;984
Valencia/València;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;374
Valencia/València;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Valencia/València;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;86.913
Valencia/València;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Total;88.323
Valencia/València;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;4.874
Valencia/València;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.457
Valencia/València;De 1.500 euros a menos de 2.000 euros;Total;Combinación de varios tipos de dispositivos;.
Valencia/València;De 1.500 euros a menos de 2.000 euros;Total;No dispone de dispositivo de energía renovable;169.351
Valencia/València;De 1.500 euros a menos de 2.000 euros;Total;Total;175.682
Valencia/València;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;3.347
Valencia/València;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;722
Valencia/València;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Valencia/València;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;103.003
Valencia/València;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Total;107.072
Valencia/València;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;1.527
Valencia/València;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;735
Valencia/València;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Valencia/València;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;66.348
Valencia/València;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Total;68.610
Valencia/València;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;10.090
Valencia/València;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;3.329
Valencia/València;De 2.000 euros a menos de 3.000 euros;Total;Combinación de varios tipos de dispositivos;783
Valencia/València;De 2.000 euros a menos de 3.000 euros;Total;No dispone de dispositivo de energía renovable;230.297
Valencia/València;De 2.000 euros a menos de 3.000 euros;Total;Total;244.499
Valencia/València;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;6.223
Valencia/València;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;2.534
Valencia/València;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;634
Valencia/València;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;124.027
Valencia/València;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Total;133.418
Valencia/València;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;3.867
Valencia/València;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;795
Valencia/València;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;149
Valencia/València;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;106.270
Valencia/València;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Total;111.081
Valencia/València;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar térmica;3.980
Valencia/València;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.859
Valencia/València;3.000 euros o más;Total;Combinación de varios tipos de dispositivos;315
Valencia/València;3.000 euros o más;Total;No dispone de dispositivo de energía renovable;132.430
Valencia/València;3.000 euros o más;Total;Total;138.583
Valencia/València;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;2.618
Valencia/València;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.043
Valencia/València;3.000 euros o más;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;315
Valencia/València;3.000 euros o más;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;63.924
Valencia/València;3.000 euros o más;De 50.000 habitantes o menos;Total;67.899
Valencia/València;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;1.361
Valencia/València;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;817
Valencia/València;3.000 euros o más;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Valencia/València;3.000 euros o más;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;68.506
Valencia/València;3.000 euros o más;Más de 50.000 habitantes;Total;70.684
Valladolid;Total;Total;Un único tipo de dispositivo: Energía solar térmica;6.050
Valladolid;Total;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;2.396
Valladolid;Total;Total;Combinación de varios tipos de dispositivos;322
Valladolid;Total;Total;No dispone de dispositivo de energía renovable;211.620
Valladolid;Total;Total;Total;220.389
Valladolid;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.811
Valladolid;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.006
Valladolid;Total;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;236
Valladolid;Total;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;90.978
Valladolid;Total;De 50.000 habitantes o menos;Total;94.031
Valladolid;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;4.239
Valladolid;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.391
Valladolid;Total;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Valladolid;Total;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;120.643
Valladolid;Total;Más de 50.000 habitantes;Total;126.358
Valladolid;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;808
Valladolid;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;295
Valladolid;Menos de 1.000 euros;Total;Combinación de varios tipos de dispositivos;.
Valladolid;Menos de 1.000 euros;Total;No dispone de dispositivo de energía renovable;53.970
Valladolid;Menos de 1.000 euros;Total;Total;55.073
Valladolid;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;255
Valladolid;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Valladolid;Menos de 1.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Valladolid;Menos de 1.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;28.990
Valladolid;Menos de 1.000 euros;De 50.000 habitantes o menos;Total;29.246
Valladolid;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;553
Valladolid;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;295
Valladolid;Menos de 1.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Valladolid;Menos de 1.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;24.979
Valladolid;Menos de 1.000 euros;Más de 50.000 habitantes;Total;25.827
Valladolid;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar térmica;1.324
Valladolid;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;739
Valladolid;De 1.000 euros a menos de 1.500 euros;Total;Combinación de varios tipos de dispositivos;.
Valladolid;De 1.000 euros a menos de 1.500 euros;Total;No dispone de dispositivo de energía renovable;57.198
Valladolid;De 1.000 euros a menos de 1.500 euros;Total;Total;59.261
Valladolid;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;407
Valladolid;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;259
Valladolid;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Valladolid;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;24.527
Valladolid;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Total;25.192
Valladolid;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;917
Valladolid;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;480
Valladolid;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Valladolid;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;32.672
Valladolid;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Total;34.069
Valladolid;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;1.487
Valladolid;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;379
Valladolid;De 1.500 euros a menos de 2.000 euros;Total;Combinación de varios tipos de dispositivos;.
Valladolid;De 1.500 euros a menos de 2.000 euros;Total;No dispone de dispositivo de energía renovable;33.459
Valladolid;De 1.500 euros a menos de 2.000 euros;Total;Total;35.463
Valladolid;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;295
Valladolid;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;379
Valladolid;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Valladolid;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;14.550
Valladolid;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Total;15.361
Valladolid;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;1.192
Valladolid;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Valladolid;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Valladolid;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;18.909
Valladolid;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Total;20.101
Valladolid;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;1.622
Valladolid;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;538
Valladolid;De 2.000 euros a menos de 3.000 euros;Total;Combinación de varios tipos de dispositivos;.
Valladolid;De 2.000 euros a menos de 3.000 euros;Total;No dispone de dispositivo de energía renovable;43.268
Valladolid;De 2.000 euros a menos de 3.000 euros;Total;Total;45.527
Valladolid;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;218
Valladolid;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Valladolid;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Valladolid;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;16.273
Valladolid;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Total;16.590
Valladolid;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;1.405
Valladolid;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;538
Valladolid;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Valladolid;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;26.994
Valladolid;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Total;28.937
Valladolid;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar térmica;809
Valladolid;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;446
Valladolid;3.000 euros o más;Total;Combinación de varios tipos de dispositivos;.
Valladolid;3.000 euros o más;Total;No dispone de dispositivo de energía renovable;23.725
Valladolid;3.000 euros o más;Total;Total;25.066
Valladolid;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;637
Valladolid;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;368
Valladolid;3.000 euros o más;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Valladolid;3.000 euros o más;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;6.637
Valladolid;3.000 euros o más;De 50.000 habitantes o menos;Total;7.642
Valladolid;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;.
Valladolid;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Valladolid;3.000 euros o más;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Valladolid;3.000 euros o más;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;17.088
Valladolid;3.000 euros o más;Más de 50.000 habitantes;Total;17.424
Zamora;Total;Total;Un único tipo de dispositivo: Energía solar térmica;1.632
Zamora;Total;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;872
Zamora;Total;Total;Combinación de varios tipos de dispositivos;.
Zamora;Total;Total;No dispone de dispositivo de energía renovable;72.817
Zamora;Total;Total;Total;75.321
Zamora;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.050
Zamora;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;605
Zamora;Total;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Zamora;Total;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;46.753
Zamora;Total;De 50.000 habitantes o menos;Total;48.408
Zamora;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;581
Zamora;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;267
Zamora;Total;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Zamora;Total;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;26.065
Zamora;Total;Más de 50.000 habitantes;Total;26.913
Zamora;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;399
Zamora;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;320
Zamora;Menos de 1.000 euros;Total;Combinación de varios tipos de dispositivos;.
Zamora;Menos de 1.000 euros;Total;No dispone de dispositivo de energía renovable;27.532
Zamora;Menos de 1.000 euros;Total;Total;28.251
Zamora;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;311
Zamora;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;320
Zamora;Menos de 1.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Zamora;Menos de 1.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;20.237
Zamora;Menos de 1.000 euros;De 50.000 habitantes o menos;Total;20.867
Zamora;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;88
Zamora;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Zamora;Menos de 1.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Zamora;Menos de 1.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;7.296
Zamora;Menos de 1.000 euros;Más de 50.000 habitantes;Total;7.384
Zamora;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar térmica;286
Zamora;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;162
Zamora;De 1.000 euros a menos de 1.500 euros;Total;Combinación de varios tipos de dispositivos;.
Zamora;De 1.000 euros a menos de 1.500 euros;Total;No dispone de dispositivo de energía renovable;18.749
Zamora;De 1.000 euros a menos de 1.500 euros;Total;Total;19.197
Zamora;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;138
Zamora;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Zamora;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Zamora;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;12.606
Zamora;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Total;12.777
Zamora;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;148
Zamora;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;129
Zamora;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Zamora;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;6.143
Zamora;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Total;6.420
Zamora;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;222
Zamora;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Zamora;De 1.500 euros a menos de 2.000 euros;Total;Combinación de varios tipos de dispositivos;.
Zamora;De 1.500 euros a menos de 2.000 euros;Total;No dispone de dispositivo de energía renovable;10.646
Zamora;De 1.500 euros a menos de 2.000 euros;Total;Total;10.899
Zamora;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;.
Zamora;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Zamora;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Zamora;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;6.199
Zamora;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Total;6.274
Zamora;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;147
Zamora;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Zamora;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Zamora;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;4.447
Zamora;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Total;4.625
Zamora;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;691
Zamora;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;214
Zamora;De 2.000 euros a menos de 3.000 euros;Total;Combinación de varios tipos de dispositivos;.
Zamora;De 2.000 euros a menos de 3.000 euros;Total;No dispone de dispositivo de energía renovable;10.257
Zamora;De 2.000 euros a menos de 3.000 euros;Total;Total;11.162
Zamora;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;527
Zamora;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;154
Zamora;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Zamora;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;5.460
Zamora;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Total;6.141
Zamora;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;164
Zamora;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;61
Zamora;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Zamora;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;4.797
Zamora;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Total;5.022
Zamora;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar térmica;.
