Provincias;Nivel de ingresos mensuales netos del hogar;Tamaño del municipio;Tipo de dispositivo de energía renovable;Total
Alicante/Alacant;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;2.744
Alicante/Alacant;De 1.000 euros a menos de 1.500 euros;Total;Combinación de varios tipos de dispositivos;842
Alicante/Alacant;De 1.000 euros a menos de 1.500 euros;Total;No dispone de dispositivo de energía renovable;200.575
Alicante/Alacant;De 1.000 euros a menos de 1.500 euros;Total;Total;206.953
Alicante/Alacant;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.473
Alicante/Alacant;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.671
Alicante/Alacant;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Alicante/Alacant;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;100.833
Alicante/Alacant;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Total;104.674
Alicante/Alacant;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;1.318
Alicante/Alacant;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.073
Alicante/Alacant;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Alicante/Alacant;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;99.742
Alicante/Alacant;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Total;102.278
Alicante/Alacant;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;3.241
Alicante/Alacant;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;513
Alicante/Alacant;De 1.500 euros a menos de 2.000 euros;Total;Combinación de varios tipos de dispositivos;.
Alicante/Alacant;De 1.500 euros a menos de 2.000 euros;Total;No dispone de dispositivo de energía renovable;116.425
Alicante/Alacant;De 1.500 euros a menos de 2.000 euros;Total;Total;120.179
Alicante/Alacant;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;2.099
Alicante/Alacant;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Alicante/Alacant;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Alicante/Alacant;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;54.614
Alicante/Alacant;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Total;56.950
Alicante/Alacant;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;1.141
Alicante/Alacant;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;277
Alicante/Alacant;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Alicante/Alacant;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;61.811
Alicante/Alacant;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Total;63.229
Alicante/Alacant;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;6.817
Alicante/Alacant;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;2.347
Alicante/Alacant;De 2.000 euros a menos de 3.000 euros;Total;Combinación de varios tipos de dispositivos;423
Alicante/Alacant;De 2.000 euros a menos de 3.000 euros;Total;No dispone de dispositivo de energía renovable;143.550
Alicante/Alacant;De 2.000 euros a menos de 3.000 euros;Total;Total;153.137
Alicante/Alacant;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;4.073
Alicante/Alacant;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.119
Alicante/Alacant;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Alicante/Alacant;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;70.011
Alicante/Alacant;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Total;75.543
