Provincias;Ingresos netos;Dispone de dispositivo de energía renovable;Total
Soria;Menos de 1.000 euros;No;8489
Soria;Menos de 1.000 euros;Si;512
Tarragona;3.000 euros o más;No;41426
Tarragona;3.000 euros o más;Si;3225
Tarragona;De 1.000 euros a menos de 1.500 euros;No;78054
Tarragona;De 1.000 euros a menos de 1.500 euros;Si;3866
Tarragona;De 1.500 euros a menos de 2.000 euros;No;53443
Tarragona;De 1.500 euros a menos de 2.000 euros;Si;4063
Tarragona;De 2.000 euros a menos de 3.000 euros;No;72978
Tarragona;De 2.000 euros a menos de 3.000 euros;Si;3010
Tarragona;Menos de 1.000 euros;No;63046
Tarragona;Menos de 1.000 euros;Si;3062
Teruel;3.000 euros o más;No;5419
Teruel;3.000 euros o más;Si;638
Teruel;De 1.000 euros a menos de 1.500 euros;No;12992
Teruel;De 1.000 euros a menos de 1.500 euros;Si;637
Teruel;De 1.500 euros a menos de 2.000 euros;No;9008
Teruel;De 1.500 euros a menos de 2.000 euros;Si;437
Teruel;De 2.000 euros a menos de 3.000 euros;No;11861
Teruel;De 2.000 euros a menos de 3.000 euros;Si;634
Teruel;Menos de 1.000 euros;No;12663
Teruel;Menos de 1.000 euros;Si;552
Toledo;3.000 euros o más;No;23493
Toledo;3.000 euros o más;Si;1295
Toledo;De 1.000 euros a menos de 1.500 euros;No;69091
Toledo;De 1.000 euros a menos de 1.500 euros;Si;2516
Toledo;De 1.500 euros a menos de 2.000 euros;No;38127
Toledo;De 1.500 euros a menos de 2.000 euros;Si;2308
Toledo;De 2.000 euros a menos de 3.000 euros;No;42404
Toledo;De 2.000 euros a menos de 3.000 euros;Si;3320
Toledo;Menos de 1.000 euros;No;80794
Toledo;Menos de 1.000 euros;Si;1186
Valencia/València;3.000 euros o más;No;132430
Valencia/València;3.000 euros o más;Si;6153
Valencia/València;De 1.000 euros a menos de 1.500 euros;No;234323
Valencia/València;De 1.000 euros a menos de 1.500 euros;Si;6899
Valencia/València;De 1.500 euros a menos de 2.000 euros;No;169351
Valencia/València;De 1.500 euros a menos de 2.000 euros;Si;6331
Valencia/València;De 2.000 euros a menos de 3.000 euros;No;230297
Valencia/València;De 2.000 euros a menos de 3.000 euros;Si;14202
Valencia/València;Menos de 1.000 euros;No;238615
Valencia/València;Menos de 1.000 euros;Si;4138
Valladolid;3.000 euros o más;No;23725
Valladolid;3.000 euros o más;Si;1341
Valladolid;De 1.000 euros a menos de 1.500 euros;No;57198
Valladolid;De 1.000 euros a menos de 1.500 euros;Si;2063
Valladolid;De 1.500 euros a menos de 2.000 euros;No;33459
Valladolid;De 1.500 euros a menos de 2.000 euros;Si;2004
Valladolid;De 2.000 euros a menos de 3.000 euros;No;43268
Valladolid;De 2.000 euros a menos de 3.000 euros;Si;2259
Valladolid;Menos de 1.000 euros;No;53970
Valladolid;Menos de 1.000 euros;Si;1103
Zamora;3.000 euros o más;No;5633
Zamora;3.000 euros o más;Si;179
Zamora;De 1.000 euros a menos de 1.500 euros;No;18749
Zamora;De 1.000 euros a menos de 1.500 euros;Si;448
Zamora;De 1.500 euros a menos de 2.000 euros;No;10646
Zamora;De 1.500 euros a menos de 2.000 euros;Si;253
Zamora;De 2.000 euros a menos de 3.000 euros;No;10257
Zamora;De 2.000 euros a menos de 3.000 euros;Si;905
Zamora;Menos de 1.000 euros;No;27532
Zamora;Menos de 1.000 euros;Si;719
Zaragoza;3.000 euros o más;No;53955
Zaragoza;3.000 euros o más;Si;6377
Zaragoza;De 1.000 euros a menos de 1.500 euros;No;79823
Zaragoza;De 1.000 euros a menos de 1.500 euros;Si;5636
Zaragoza;De 1.500 euros a menos de 2.000 euros;No;64790
Zaragoza;De 1.500 euros a menos de 2.000 euros;Si;3993
Zaragoza;De 2.000 euros a menos de 3.000 euros;No;90471
Zaragoza;De 2.000 euros a menos de 3.000 euros;Si;8087
Zaragoza;Menos de 1.000 euros;No;77451
Zaragoza;Menos de 1.000 euros;Si;2380
Ávila;3.000 euros o más;No;5327
Ávila;3.000 euros o más;Si;413
Ávila;De 1.000 euros a menos de 1.500 euros;No;17818
Ávila;De 1.000 euros a menos de 1.500 euros;Si;650
Ávila;De 1.500 euros a menos de 2.000 euros;No;9478
Ávila;De 1.500 euros a menos de 2.000 euros;Si;369
Ávila;De 2.000 euros a menos de 3.000 euros;No;10603
Ávila;De 2.000 euros a menos de 3.000 euros;Si;777
Ávila;Menos de 1.000 euros;No;21272
Ávila;Menos de 1.000 euros;Si;626
