"A�o";"Mes";"Castilla-La Mancha";"Espa�a";"Albacete";"Ciudad Real";"Cuenca";"Guadalajara";"Toledo"
"2018";" Julio";204102.639;"-";34229.828;48646.3;14441.088;27474.692;79310.731
"2018";" Agosto";236227.882;"-";40136.341;57693.57700000001;17653.377;30893.876;89850.711
"2018";" Septiembre";223719.11;"-";35374.557;55605.405;16930.908;29268.348;86539.89200000001
"2018";" Octubre";185112.937;"-";32087.23;43648.594;13984.601;25177.454;70215.05800000001
"2018";" Noviembre";237891.497;"-";43338.445;54941.807;18130.669;30505.6;90974.976
"2018";" Diciembre";256278.176;"-";43777.623;61383.664;19621.558;32743.863;98751.46800000001
"2019";"Total";3062341.843;"-";498994.018;800777.2559999998;228255.435;402205.127;1132110.007
"2019";" Enero";322368.165;"-";56399.108;80580.732;23585.125;37232.905;124570.295
"2019";" Febrero";299064.157;"-";50805.03;77813.41899999999;20422.634;34896.035;115127.039
"2019";" Marzo";243933.884;"-";43559.557;59792.451;18104.996;29753.63;92723.25
"2019";" Abril";234495.289;"-";42065.845;57324.508;17572.338;30049.54;87483.05800000001
"2019";" Mayo";222323.439;"-";41531.414;52196.089;18189.858;28543.879;81862.19900000001
"2019";" Junio";181626.19;"-";31040.357;43606.434;13113.396;25069.773;68796.23
"2019";" Julio";521394.7130000001;"-";35913.982;210209.615;32334.177;79861.303;163075.636
"2019";" Agosto";247851.884;"-";42364.975;59778.497;18814.13;32357.788;94536.49400000001
"2019";" Septiembre";113582.061;"-";35205.039;1851.57;13843.786;16579.516;46102.15
"2019";" Octubre";186350.728;"-";32037.144;44091.39;13997.589;25123.27;71101.33500000001
"2019";" Noviembre";232825.525;"-";42367.332;52109.079;18986.39;31167.748;88194.976
"2019";" Diciembre";256525.808;"-";45704.235;61423.472;19291.016;31569.74;98537.345
"2020";"Total";2961186.805;"-";502837.0960000001;715527.296;216893.405;380571.128;1145357.88
"2020";" Enero";330786.57;"-";59021.623;79112.992;24751.396;38998.47;128902.089
"2020";" Febrero";285323.956;"-";48174.565;73098.924;19694.459;34073.69;110282.318
"2020";" Marzo";246731.76;"-";43065.377;59593.247;18075.993;30240.919;95756.224
"2020";" Abril";267493.595;"-";48890.908;64145.835;19791.645;33817.547;100847.66
"2020";" Mayo";218975.599;"-";38604.644;52712.072;16049.778;28714.702;82894.40300000001
"2020";" Junio";190381.197;"-";31729.31;46383.716;12937.503;26024.789;73305.879
"2020";" Julio";226419.253;"-";37074.629;53687.643;15457.584;29803.016;90396.38100000001
"2020";" Agosto";269262.623;"-";40430.389;68092.045;19066.501;34415.726;107257.962
"2020";" Septiembre";223274.831;"-";35673.096;54543.313;16913.553;30357.94;85786.929
"2020";" Octubre";204403.431;"-";34784.947;48263.192;15907.972;28793.87;76653.45
"2020";" Noviembre";230066.907;"-";39002.74;53893.009;17774.895;31210.657;88185.606
"2020";" Diciembre";268067.083;"-";46384.868;62001.30800000001;20472.126;34119.802;105088.979
"2021";"Total";2899444.114;"-";492873.312;693235.162;215831.889;373905.926;1123597.825
"2021";" Enero";372050.405;"-";65254.593;89669.62300000001;27470.649;44221.787;145433.753
"2021";" Febrero";300179.578;"-";49318.963;76882.02;20259.021;36103.051;117616.523
"2021";" Marzo";260585.808;"-";46781.586;60962.924;19549.247;31938.179;101353.872
"2021";" Abril";256329.689;"-";47047.256;60011.455;19934.872;32572.164;96763.942
"2021";" Mayo";180923.424;"-";31130.893;46552.497;11887.06;23790.8;67562.174
"2021";" Junio";208086.112;"-";33311.199;48621.77;15842.734;29531.763;80778.64600000001
"2021";" Julio";197253.578;"-";33342.347;44625.709;15303.884;26961.157;77020.481
"2021";" Agosto";228857.404;"-";38204.655;52100.967;17832.526;30083.575;90635.681
"2021";" Septiembre";228178.286;"-";34657.935;58169.186;16681.043;30391.809;88278.313
"2021";" Octubre";188638.527;"-";30413.165;45733.505;14013.402;26649.296;71829.159
"2021";" Noviembre";211279.562;"-";35406.636;48092.654;16571.791;28869.53;82338.951
"2021";" Diciembre";267081.741;"-";48004.084;61812.852;20485.66;32792.815;103986.33
"2022";"Total";2699851.929;"-";465755.76;663051.4589999999;202449.613;347015.291;1021579.806
"2022";" Enero";302480.406;"-";52297.131;72038.825;22488.896;37918.313;117737.241
"2022";" Febrero";299028.775;"-";45805.153;82998.332;19810.068;35619.302;114795.92
"2022";" Marzo";236821.841;"-";44169.179;52755.124;17774.675;29448.145;92674.71800000001
"2022";" Abril";251356.994;"-";44659.119;59095.84;19121.479;32228.755;96251.80100000001
"2022";" Mayo";200547.124;"-";34400.646;48842.603;14705.94;26218.558;76379.37700000001
"2022";" Junio";187232.392;"-";31685.663;43508.2;13209.029;26088.061;72741.439
"2022";" Julio";215200.255;"-";34815.984;51460.111;15176.93;28870.708;84876.522
"2022";" Agosto";258690.888;"-";38999.462;64414.658;18337.053;33974.234;102965.481
"2022";" Septiembre";220792.94;"-";35624.13;53218.577;16613.993;29719.305;85616.935
"2022";" Octubre";174716.627;"-";29574.872;41383.098;12939.177;25163.513;65655.967
"2022";" Noviembre";174003.656;"-";32647.215;43712.913;14159.859;10467.989;73015.68000000001
"2022";" Diciembre";178980.031;"-";41077.206;49623.178;18112.514;31298.408;38868.725
"2023";"Total";2687443.485;"-";459494.6490000001;646002.4340000001;212533.797;312108.6359999999;1057303.969
"2023";" Enero";267601.406;"-";45737.73;66500.611;32164.427;14632.629;108566.009
"2023";" Febrero";287327.565;"-";49144.468;70534.997;19969.071;35324.857;112354.172
"2023";" Marzo";253427.498;"-";45589.406;58673.64;18007.24;31838.776;99318.436
"2023";" Abril";190778.94;"-";35070.107;49086.779;15894.743;12313.011;78414.3
"2023";" Mayo";172837.155;"-";29825.767;40330.147;12731.376;23969.384;65980.481
"2023";" Junio";179105.701;"-";30990.988;41833.114;12936.118;24886.68;68458.80100000001
"2023";" Julio";209832.908;"-";34714.472;50363.269;14132.758;27946.251;82676.158
